loan_id,loan_dates_year,loan_ammounts,loan_durations,loan_payments,loan_status,account_dates_yymd,transactions_number_per_account,last_transaction_date_per_account,transactions_last_balance_per_account,no_transactions_type_credit_per_account,no_transactions_type_withdrawal_per_account,avg_amount_of_transaction_credit_per_account,median_amount_of_transaction_credit_per_account,max_amount_of_transaction_credit_per_account,min_amount_of_transaction_credit_per_account,variance_amount_of_transaction_credit_per_account,avg_amount_of_transaction_withdrawal_per_account,median_amount_of_transaction_withdrawal_per_account,max_amount_of_transaction_withdrawal_per_account,min_amount_of_transaction_withdrawal_per_account,variance_amount_of_transaction_withdrawal_per_account,no_k_na_of_transaction_per_account,no_k_household_of_transaction_per_account,no_k_interest_credited_of_transaction_per_account,no_k_old_age_pension_of_transaction_per_account,no_k_insurrance_payment_of_transaction_per_account,no_k_payment_for_statement_of_transaction_per_account,no_k_sanction_interest_if_negative_balance_of_transaction_per_account,owner_gender_per_account,owner_birth_year_per_account,owner_district_n_inhab_per_account,owner_district_n_mun_inhab_0_499_per_account,owner_district_n_mun_inhab_500_1999_per_account,owner_district_n_mun_inhab_2000_9999_per_account,owner_district_n_mun_inhab_10000_inf_per_account,owner_district_n_cities_per_account,owner_district_ratio_urban_inhab_per_account,owner_district_average_salary_per_account,owner_district_unemploymant_95_per_account,owner_district_unemploymant_96_per_account,owner_district_n_enterp_per_1000_per_account,owner_district_n_crimes_95_per_account,owner_district_n_crimes_96_per_account
5314,93,96396,12,8033,-1,930322,4,930620,20100.0,4,0,5025.0,4550.0,9900.0,1100.0,10686875.0,0,0,0,0,0,4,0,0,0,0,0,0,1,47,94812,15,13,8,2,10,81.8,9650,3.38,3.67,100,2985,2804
5316,93,165960,36,4610,1,930213,37,930709,52208.9,17,20,13523.2,8368.0,36574.0,2.9,184420316.2,8884.2,3793.0,54300.0,14.6,188195011.5,24,2,5,0,3,3,0,0,68,112709,48,20,7,3,10,73.5,8369,1.79,2.31,117,2854,2618
6863,93,127080,60,2118,1,930208,24,930721,20272.8,15,9,5009.7,139.8,19065.0,48.6,43173007.4,6097.0,5300.0,14800.0,66.0,25829512.4,14,1,8,0,1,0,0,0,36,77917,85,19,6,1,5,53.5,8390,2.28,2.89,132,2080,2122
5325,93,105804,36,2939,1,930130,25,930731,34307.3,13,12,9254.6,3900.0,26448.0,132.8,88988984.8,7168.1,6994.0,15600.0,14.6,22181050.6,16,2,5,0,0,2,0,1,40,177686,69,27,10,1,9,74.8,10045,1.42,1.71,135,6604,6295
7240,93,274740,60,4579,1,930214,27,930831,41112.9,13,14,21255.9,600.0,63366.0,77.1,543464166.3,16801.0,12199.5,36700.0,30.0,181530351.7,18,1,6,0,0,2,0,0,78,86513,38,36,5,1,5,50.5,8288,3.79,4.52,110,1562,1460
6687,93,87840,24,3660,1,930512,17,930909,43847.8,14,3,7332.0,263.4,32938.0,51.3,127413459.3,19600.0,21600.0,22000.0,15200.0,9706666.7,9,0,8,0,0,0,0,1,80,53921,61,22,1,1,2,41.3,8598,2.77,3.26,123,1597,1875
7284,93,52788,12,4399,1,930114,43,930911,21029.0,21,22,4304.0,3700.0,11427.0,43.9,14341664.3,3152.5,2607.0,17920.0,14.6,14140304.5,29,4,7,0,0,3,0,0,73,58796,22,16,7,1,5,51.9,9045,3.13,3.6,124,1845,1879
6111,93,174744,24,7281,-1,930414,32,930921,58140.9,16,16,13374.9,5634.0,47436.0,77.8,250564485.2,9741.0,5100.0,52600.0,14.6,171120559.7,20,4,5,0,0,3,0,1,48,122603,25,21,6,2,8,80.0,8991,1.39,2.01,128,5198,5273
7235,93,154416,48,3217,1,930420,32,931008,53402.7,16,16,11409.0,5951.0,39098.0,13.6,163648007.8,8071.3,6450.0,19200.0,30.0,45824406.1,22,0,6,0,0,4,0,1,69,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910
5997,93,117024,24,4876,1,930620,13,931031,53193.5,9,4,13154.8,800.0,29255.0,45.1,207412324.8,16300.0,19550.0,24000.0,2100.0,74575000.0,9,0,4,0,0,0,0,0,35,177686,69,27,10,1,9,74.8,10045,1.42,1.71,135,6604,6295
7121,93,21924,36,609,1,930117,45,931107,49083.3,21,24,7551.7,4200.0,21739.5,38.3,56401079.1,4562.6,4950.0,17200.0,14.6,20415565.0,26,5,9,0,0,5,0,0,60,157042,49,70,18,0,9,33.9,8743,1.88,2.43,111,3659,3894
6077,93,79608,24,3317,1,930113,53,931116,103745.7,22,31,23558.3,22774.5,67124.0,110.2,560092276.3,13372.1,10200.0,51700.0,14.6,177122958.9,37,0,10,0,0,6,0,0,70,105606,77,26,7,2,7,53.0,8254,2.79,3.76,97,2166,2325
6228,93,464520,60,7742,-1,930319,68,931130,121570.3,31,37,16035.6,15436.0,47757.0,42.4,226476477.4,11073.8,8500.0,41000.0,30.0,95997168.5,52,0,9,0,0,7,0,1,40,148545,8,35,12,3,4,53.5,8909,4.01,5.56,113,3460,3590
6356,93,95400,36,2650,1,930315,47,931130,27697.0,22,25,11706.6,7262.0,35760.0,23.6,161882886.4,9195.1,2700.0,33500.0,30.0,136184257.0,32,0,9,0,0,6,0,0,71,95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616,3040
5523,93,93888,36,2608,1,930705,19,931202,34716.3,12,7,7084.7,3000.0,15649.0,48.0,54316438.9,7185.7,3900.0,15500.0,100.0,31812653.1,13,0,5,0,0,1,0,1,50,86513,38,36,5,1,5,50.5,8288,3.79,4.52,110,1562,1460
6456,93,47016,12,3918,1,930414,42,931205,58773.2,22,20,13031.1,7967.0,47705.0,32.8,212972974.5,11395.5,8393.0,51800.0,100.0,148137001.8,26,4,8,0,0,4,0,1,57,112709,48,20,7,3,10,73.5,8369,1.79,2.31,117,2854,2618
7104,93,259740,60,4329,1,930711,17,931210,67219.5,10,7,14443.4,13386.5,38960.0,75.3,213098054.0,11030.6,11700.0,21500.0,1300.0,39187550.5,12,1,4,0,0,0,0,0,79,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887
6820,93,38148,12,3179,1,930628,29,931214,56840.8,18,11,8067.9,180.3,32706.0,9.9,126627001.6,8863.2,9115.0,20600.0,14.6,34840605.0,15,1,10,0,2,1,0,1,65,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
6876,93,86616,12,7218,1,930818,15,931216,37253.1,12,3,4879.4,458.85,17859.0,29.8,39467119.8,7100.0,8000.0,11100.0,2200.0,13606666.7,9,0,6,0,0,0,0,0,61,75637,35,36,9,0,7,36.5,9622,0.45,0.59,154,3475,3529
7097,93,75624,24,3151,-1,930610,23,931217,41954.8,15,8,11677.0,318.9,49887.0,50.5,350054349.7,16650.0,15200.0,31100.0,3200.0,91770000.0,13,1,9,0,0,0,0,0,58,387570,0,0,0,1,1,100.0,9897,1.6,1.96,140,18721,18696
4959,94,80952,24,3373,1,930226,54,931231,27840.6,22,32,10394.8,2400.0,30354.0,13.5,125302253.0,6276.4,4100.0,22400.0,14.6,35008528.2,33,5,10,0,0,6,0,0,45,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
6499,94,80952,24,3373,1,930226,54,931231,28749.1,22,32,10395.2,2400.0,30354.0,13.5,125294227.8,6248.3,4050.0,22400.0,14.6,35172346.9,33,5,10,0,0,6,0,0,45,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
5479,94,24516,12,2043,1,930227,73,931231,78656.2,31,42,20344.7,13907.0,49536.0,12.5,364551140.8,13143.5,8250.0,59200.0,14.6,242351426.0,55,0,10,0,0,8,0,0,58,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
5170,94,253200,60,4220,1,930510,41,940119,81150.6,21,20,13560.9,5800.0,46304.0,69.5,253000497.9,10181.4,5000.0,42600.0,30.0,146660966.1,28,0,8,0,0,5,0,1,50,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799
6721,94,21072,24,878,1,930908,15,940106,33467.0,13,2,3012.9,300.0,9738.0,48.5,13092998.5,4150.0,4150.0,5700.0,2600.0,2402500.0,9,0,6,0,0,0,0,1,64,74062,99,15,4,2,7,61.4,8114,2.38,2.62,119,1003,1181
7259,94,108144,36,3004,1,930520,55,940118,21921.3,23,32,16822.8,7983.0,45740.0,35.7,304805147.6,11406.4,4736.0,60600.0,14.6,251824565.0,35,6,8,0,0,6,0,1,63,108871,41,29,7,2,6,62.1,8444,3.24,3.47,106,2595,2305
5285,94,78936,12,6578,1,930509,51,940205,24601.0,24,27,3975.2,2400.0,11416.0,24.0,15756655.1,2622.4,2359.0,6300.0,14.6,4269449.0,33,4,9,0,0,5,0,1,57,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328,1452
5189,94,149040,48,3105,1,930421,54,940131,19033.5,20,34,9496.6,1200.0,27946.0,31.1,109655970.9,5026.4,4298.5,15900.0,14.6,18822408.1,35,5,9,0,0,5,0,1,68,75637,35,36,9,0,7,36.5,9622,0.45,0.59,154,3475,3529
6650,94,49320,12,4110,-1,930903,49,940214,15673.6,17,32,15663.0,12334.0,45628.0,166.4,265838335.2,7831.2,3950.0,62700.0,100.0,135807143.4,34,5,5,0,0,5,0,1,45,122603,25,21,6,2,8,80.0,8991,1.39,2.01,128,5198,5273
7226,94,197748,36,5493,1,930913,16,940216,43294.5,11,5,12363.1,2300.0,36216.0,68.3,178862777.5,18540.0,24200.0,25100.0,5700.0,62186400.0,12,0,4,0,0,0,0,1,70,53921,61,22,1,1,2,41.3,8598,2.77,3.26,123,1597,1875
