Id,Predicted
5895,0.037
7122,0.695
6173,0.053
6142,0.265
5358,0.225
6095,0.058
6878,0.148
6554,0.126
6793,0.108
7286,0.037
6076,0.038
5134,0.085
5419,0.388
6255,0.228
5656,0.098
6934,0.153
6028,0.039
6490,0.1
6415,0.284
7087,0.038
5420,0.147
5977,0.084
6824,0.478
5207,0.084
7115,0.152
7250,0.035
6010,0.176
6088,0.249
5682,0.054
7201,0.052
6938,0.104
6875,0.176
5953,0.203
5942,0.046
5382,0.055
6377,0.029
5931,0.418
5992,0.033
5790,0.327
6753,0.254
6562,0.047
7046,0.314
5868,0.316
5784,0.177
5878,0.098
5110,0.163
5210,0.119
7230,0.086
5005,0.15
6871,0.106
5363,0.581
7253,0.175
6055,0.126
5072,0.228
6913,0.121
6386,0.038
5634,0.033
5758,0.561
6819,0.238
7088,0.043
5039,0.189
5532,0.073
6037,0.126
6322,0.095
6887,0.224
6660,0.169
5451,0.099
6014,0.033
5556,0.281
6346,0.122
5850,0.129
5940,0.1
7119,0.083
5253,0.466
6851,0.732
6695,0.201
6908,0.227
7255,0.071
5674,0.196
6278,0.141
5486,0.17
5174,0.277
6621,0.056
6313,0.07
6435,0.073
6970,0.081
6310,0.122
5932,0.144
6877,0.091
6763,0.394
7085,0.25
7049,0.078
6959,0.488
5214,0.065
6350,0.151
5063,0.649
5041,0.189
5086,0.15
6942,0.029
5270,0.042
6705,0.064
7051,0.171
6758,0.132
6249,0.12
5808,0.038
5377,0.167
5446,0.082
5856,0.632
4986,0.356
7001,0.074
6677,0.233
6665,0.029
5817,0.785
6984,0.048
6541,0.021
5117,0.176
6097,0.034
5389,0.115
7219,0.061
6338,0.156
6922,0.1
5367,0.119
5638,0.048
5830,0.142
5338,0.663
6007,0.056
6612,0.181
5718,0.106
6104,0.08
5229,0.096
6625,0.343
5206,0.074
5963,0.239
4990,0.102
6641,0.064
5369,0.232
6196,0.063
5236,0.223
5719,0.165
5643,0.306
7050,0.145
6355,0.043
6688,0.207
6239,0.213
5531,0.032
6113,0.122
7181,0.338
6118,0.148
7264,0.116
5343,0.043
5051,0.356
5779,0.089
6605,0.056
6655,0.16
6534,0.233
5681,0.115
6607,0.059
6242,0.367
7242,0.052
7277,0.215
6675,0.029
5398,0.081
5956,0.154
5731,0.297
6956,0.069
6437,0.33
5447,0.616
5973,0.304
6075,0.518
5281,0.409
5103,0.104
6468,0.038
7209,0.438
5584,0.059
4988,0.769
6502,0.06
5651,0.033
4962,0.223
5862,0.041
7199,0.043
6727,0.309
7279,0.058
6544,0.04
5933,0.047
6574,0.063
6399,0.047
7187,0.034
6353,0.08
5043,0.281
5469,0.372
5976,0.235
6059,0.187
5799,0.068
6147,0.153
6254,0.111
7100,0.275
7147,0.283
5909,0.105
7037,0.049
5782,0.181
6237,0.428
6552,0.018
7067,0.13
5320,0.119
5930,0.097
6486,0.096
5245,0.09
6643,0.025
5260,0.087
5569,0.364
7110,0.119
7139,0.063
6791,0.383
5360,0.067
5287,0.073
6553,0.044
7072,0.067
6044,0.047
5332,0.063
6866,0.265
6633,0.057
6926,0.102
6442,0.045
5889,0.069
5765,0.443
5124,0.117
5491,0.416
6730,0.265
7151,0.021
5140,0.222
7171,0.112
6568,0.05
6861,0.148
6855,0.082
7129,0.092
5384,0.141
6859,0.13
5772,0.07
5665,0.024
6495,0.146
5061,0.309
6948,0.112
5773,0.388
6052,0.141
6682,0.651
6083,0.367
6962,0.183
5158,0.115
6464,0.057
5172,0.064
5582,0.139
6136,0.34
6235,0.095
6508,0.066
4968,0.211
6632,0.05
7195,0.152
5525,0.11
6320,0.141
6766,0.113
6872,0.144
5906,0.101
7172,0.033
6571,0.06
5616,0.11
6312,0.108
6470,0.058
5147,0.293
5501,0.116
6436,0.399
5699,0.182
5313,0.076
6234,0.025
6569,0.066
7202,0.056
5683,0.074
5034,0.107
5435,0.164
5815,0.086
5589,0.258
6746,0.267
6790,0.07
6857,0.082
6450,0.055
7221,0.186
5527,0.121
5620,0.105
6215,0.063
7167,0.133
5823,0.13
6207,0.046
6932,0.051
5669,0.07
5154,0.133
7168,0.063
5585,0.202
7200,0.094
6539,0.105
5774,0.271
6357,0.087
5042,0.277
5015,0.186
5354,0.038
6054,0.196
7295,0.13
5365,0.286
6755,0.156
5991,0.63
7035,0.072
5893,0.065
7164,0.076
5304,0.089
5561,0.149
5520,0.127
5241,0.137
7096,0.061
6078,0.089
5046,0.215
5334,0.175
6969,0.024
6821,0.276
5760,0.069
5614,0.119
7091,0.095
5698,0.088
5169,0.066
7294,0.025
5318,0.342
5368,0.061
6923,0.037
5463,0.058
5265,0.49
6321,0.1
5226,0.165
6868,0.337
4967,0.777
5293,0.034
5865,0.062
5841,0.092
5526,0.035
6852,0.214
6469,0.019
6168,0.09
7292,0.058
5036,0.249
5644,0.33
6856,0.146
5428,0.203
5027,0.113
4989,0.263
5221,0.11
6402,0.043
5346,0.131
6748,0.199
