Id,Predicted
5895,0.12
7122,0.86
6173,0.09
6142,0.54
5358,0.32
6095,0.09
6878,0.22
6554,0.16
6793,0.16
7286,0.09
6076,0.12
5134,0.17
5419,0.49
6255,0.25
5656,0.12
6934,0.14
6028,0.15
6490,0.13
6415,0.27
7087,0.09
5420,0.24
5977,0.12
6824,0.6
5207,0.1
7115,0.14
7250,0.07
6010,0.26
6088,0.32
5682,0.14
7201,0.13
6938,0.2
6875,0.21
5953,0.3
5942,0.13
5382,0.1
6377,0.09
5931,0.65
5992,0.14
5790,0.33
6753,0.26
6562,0.12
7046,0.4
5868,0.4
5784,0.24
5878,0.12
5110,0.19
5210,0.14
7230,0.12
5005,0.27
6871,0.1
5363,0.77
7253,0.26
6055,0.18
5072,0.34
6913,0.11
6386,0.09
5634,0.1
5758,0.77
6819,0.33
7088,0.18
5039,0.34
5532,0.11
6037,0.16
6322,0.12
6887,0.43
6660,0.29
5451,0.16
6014,0.11
5556,0.54
6346,0.14
5850,0.14
5940,0.16
7119,0.13
5253,0.51
6851,0.89
6695,0.23
6908,0.19
7255,0.17
5674,0.28
6278,0.23
5486,0.2
5174,0.31
6621,0.11
6313,0.12
6435,0.13
6970,0.11
6310,0.15
5932,0.25
6877,0.14
6763,0.52
7085,0.45
7049,0.12
6959,0.55
5214,0.14
6350,0.15
5063,0.77
5041,0.34
5086,0.26
6942,0.07
5270,0.1
6705,0.13
7051,0.23
6758,0.16
6249,0.21
5808,0.09
5377,0.19
5446,0.09
5856,0.68
4986,0.54
7001,0.18
6677,0.3
6665,0.07
5817,0.92
6984,0.11
6541,0.06
5117,0.34
6097,0.12
5389,0.17
7219,0.11
6338,0.18
6922,0.11
5367,0.12
5638,0.1
5830,0.12
5338,0.84
6007,0.14
6612,0.19
5718,0.1
6104,0.1
5229,0.11
6625,0.34
5206,0.13
5963,0.27
4990,0.14
6641,0.11
5369,0.28
6196,0.14
5236,0.3
5719,0.18
5643,0.39
7050,0.15
6355,0.09
6688,0.26
6239,0.34
5531,0.09
6113,0.18
7181,0.41
6118,0.22
7264,0.13
5343,0.1
5051,0.45
5779,0.17
6605,0.08
6655,0.25
6534,0.23
5681,0.12
6607,0.16
6242,0.4
7242,0.08
7277,0.28
6675,0.12
5398,0.13
5956,0.15
5731,0.33
6956,0.08
6437,0.36
5447,0.76
5973,0.29
6075,0.59
5281,0.37
5103,0.22
6468,0.14
7209,0.37
5584,0.11
4988,0.87
6502,0.08
5651,0.11
4962,0.34
5862,0.11
7199,0.1
6727,0.56
7279,0.11
6544,0.08
5933,0.12
6574,0.12
6399,0.1
7187,0.09
6353,0.1
5043,0.41
5469,0.61
5976,0.29
6059,0.19
5799,0.1
6147,0.2
6254,0.21
7100,0.31
7147,0.46
5909,0.13
7037,0.14
5782,0.18
6237,0.55
6552,0.07
7067,0.26
5320,0.23
5930,0.14
6486,0.15
5245,0.2
6643,0.09
5260,0.13
5569,0.29
7110,0.14
7139,0.08
6791,0.53
5360,0.11
5287,0.18
6553,0.08
7072,0.13
6044,0.1
5332,0.1
6866,0.2
6633,0.13
6926,0.17
6442,0.08
5889,0.13
5765,0.53
5124,0.17
5491,0.6
6730,0.32
7151,0.1
5140,0.37
7171,0.22
6568,0.13
6861,0.28
6855,0.18
7129,0.11
5384,0.23
6859,0.17
5772,0.14
5665,0.08
6495,0.12
5061,0.4
6948,0.14
5773,0.51
6052,0.21
6682,0.8
6083,0.64
6962,0.17
5158,0.16
6464,0.09
5172,0.09
5582,0.28
6136,0.5
6235,0.13
6508,0.16
4968,0.25
6632,0.12
7195,0.16
5525,0.14
6320,0.16
6766,0.11
6872,0.13
5906,0.19
7172,0.09
6571,0.18
5616,0.11
6312,0.11
6470,0.09
5147,0.33
5501,0.14
6436,0.45
5699,0.22
5313,0.1
6234,0.09
6569,0.15
7202,0.1
5683,0.11
5034,0.17
5435,0.16
5815,0.18
5589,0.27
6746,0.28
6790,0.09
6857,0.07
6450,0.11
7221,0.28
5527,0.14
5620,0.11
6215,0.16
7167,0.3
5823,0.15
6207,0.11
6932,0.15
5669,0.13
5154,0.2
7168,0.19
5585,0.24
7200,0.13
6539,0.11
5774,0.39
6357,0.1
5042,0.41
5015,0.2
5354,0.14
6054,0.17
7295,0.14
5365,0.46
6755,0.12
5991,0.83
7035,0.13
5893,0.13
7164,0.15
5304,0.16
5561,0.27
5520,0.18
5241,0.26
7096,0.16
6078,0.19
5046,0.33
5334,0.2
6969,0.07
6821,0.18
5760,0.1
5614,0.16
7091,0.14
5698,0.1
5169,0.12
7294,0.1
5318,0.4
5368,0.08
6923,0.07
5463,0.1
5265,0.45
6321,0.12
5226,0.26
6868,0.33
4967,0.93
5293,0.1
5865,0.13
5841,0.12
5526,0.07
6852,0.42
6469,0.1
6168,0.12
7292,0.14
5036,0.44
5644,0.44
6856,0.16
5428,0.21
5027,0.18
4989,0.33
5221,0.13
6402,0.11
5346,0.11
6748,0.25
