Id,Predicted
5895,0.06
7122,1.0
6173,0.06
6142,1.0
5358,0.27
6095,0.06
6878,0.06
6554,0.06
6793,0.06
7286,0.27
6076,0.06
5134,0.06
5419,0.27
6255,0.06
5656,0.06
6934,0.06
6028,0.06
6490,0.06
6415,0.06
7087,0.06
5420,0.27
5977,0.06
6824,1.0
5207,0.27
7115,0.27
7250,0.06
6010,0.06
6088,0.06
5682,0.06
7201,0.06
6938,0.06
6875,0.06
5953,0.06
5942,0.06
5382,0.06
6377,0.06
5931,0.27
5992,0.06
5790,0.06
6753,0.2
6562,0.06
7046,0.27
5868,0.06
5784,0.27
5878,0.06
5110,0.06
5210,0.06
7230,0.06
5005,0.06
6871,0.06
5363,0.27
7253,0.06
6055,0.27
5072,0.06
6913,0.06
6386,0.06
5634,0.06
5758,0.27
6819,0.06
7088,0.06
5039,0.06
5532,0.06
6037,0.06
6322,0.06
6887,1.0
6660,0.06
5451,0.06
6014,0.06
5556,0.27
6346,0.06
5850,0.06
5940,0.06
7119,0.06
5253,0.06
6851,1.0
6695,0.2
6908,0.06
7255,0.06
5674,0.06
6278,0.06
5486,0.06
5174,0.06
6621,0.06
6313,0.06
6435,0.06
6970,0.06
6310,0.06
5932,0.27
6877,0.06
6763,1.0
7085,0.27
7049,0.06
6959,0.33
5214,0.06
6350,0.06
5063,1.0
5041,0.06
5086,0.06
6942,0.06
5270,0.06
6705,0.06
7051,0.06
6758,0.06
6249,0.27
5808,0.06
5377,0.06
5446,0.06
5856,1.0
4986,1.0
7001,0.06
6677,0.27
6665,0.06
5817,1.0
6984,0.06
6541,0.06
5117,0.06
6097,0.06
5389,0.06
7219,0.06
6338,0.06
6922,0.06
5367,0.06
5638,0.27
5830,0.06
5338,1.0
6007,0.06
6612,0.06
5718,0.06
6104,0.06
5229,0.27
6625,0.06
5206,0.06
5963,0.06
4990,0.06
6641,0.06
5369,0.06
6196,0.06
5236,0.06
5719,0.06
5643,0.06
7050,0.06
6355,0.06
6688,0.2
6239,0.06
5531,0.27
6113,0.06
7181,0.06
6118,0.06
7264,0.06
5343,0.06
5051,0.33
5779,0.06
6605,0.06
6655,0.06
6534,0.06
5681,0.06
6607,0.06
6242,0.06
7242,0.06
7277,0.06
6675,0.06
5398,0.06
5956,0.06
5731,0.27
6956,0.06
6437,0.06
5447,0.33
5973,0.06
6075,1.0
5281,0.06
5103,0.06
6468,0.06
7209,0.2
5584,0.06
4988,1.0
6502,0.06
5651,0.06
4962,0.06
5862,0.06
7199,0.06
6727,1.0
7279,0.06
6544,0.06
5933,0.06
6574,0.06
6399,0.06
7187,0.06
6353,0.06
5043,0.06
5469,0.27
5976,0.27
6059,0.06
5799,0.06
6147,0.27
6254,0.06
7100,0.06
7147,0.27
5909,0.06
7037,0.06
5782,0.06
6237,0.27
6552,0.06
7067,0.06
5320,0.27
5930,0.06
6486,0.27
5245,0.06
6643,0.06
5260,0.06
5569,0.06
7110,0.27
7139,0.06
6791,1.0
5360,0.06
5287,0.06
6553,0.06
7072,0.06
6044,0.06
5332,0.06
6866,0.06
6633,0.06
6926,0.06
6442,0.06
5889,0.06
5765,0.06
5124,0.06
5491,0.27
6730,0.06
7151,0.06
5140,0.27
7171,0.06
6568,0.06
6861,0.2
6855,0.2
7129,0.06
5384,0.06
6859,0.06
5772,0.06
5665,0.06
6495,0.06
5061,0.06
6948,0.06
5773,0.27
6052,0.27
6682,1.0
6083,0.27
6962,0.06
5158,0.06
6464,0.06
5172,0.06
5582,0.06
6136,0.27
6235,0.06
6508,0.06
4968,0.06
6632,0.06
7195,0.06
5525,0.06
6320,0.06
6766,0.06
6872,0.27
5906,0.06
7172,0.06
6571,0.06
5616,0.06
6312,0.06
6470,0.06
5147,0.06
5501,0.06
6436,0.06
5699,0.06
5313,0.06
6234,0.06
6569,0.06
7202,0.06
5683,0.06
5034,0.06
5435,0.06
5815,0.06
5589,0.06
6746,0.2
6790,0.06
6857,0.06
6450,0.06
7221,0.27
5527,0.06
5620,0.06
6215,0.06
7167,0.06
5823,0.06
6207,0.06
6932,0.06
5669,0.06
5154,0.06
7168,0.06
5585,0.06
7200,0.06
6539,0.06
5774,0.27
6357,0.06
5042,0.06
5015,0.06
5354,0.06
6054,0.06
7295,0.06
5365,0.27
6755,0.2
5991,1.0
7035,0.06
5893,0.06
7164,0.06
5304,0.06
5561,0.06
5520,0.06
5241,0.27
7096,0.06
6078,0.06
5046,0.27
5334,0.06
6969,0.06
6821,0.06
5760,0.06
5614,0.06
7091,0.06
5698,0.06
5169,0.06
7294,0.06
5318,0.27
5368,0.06
6923,0.06
5463,0.06
5265,0.33
6321,0.06
5226,0.27
6868,0.2
4967,1.0
5293,0.06
5865,0.06
5841,0.06
5526,0.06
6852,1.0
6469,0.06
6168,0.06
7292,0.06
5036,0.27
5644,0.06
6856,0.27
5428,0.06
5027,0.06
4989,0.06
5221,0.06
6402,0.06
5346,0.06
6748,0.2
